digit(15216, 3).
digit(50621, 1).
digit(41418, 1).
initiatedAt(sequence0 = false, 2).
digit(22218, 3).
digit(4310, 0).
digit(28871, 8).
digit(13986, 4).
digit(49261, 9).
digit(37170, 8).
digit(50078, 9).
digit(51600, 4).
digit(50108, 6).
digit(33849, 4).
digit(22236, 2).
digit(32087, 3).
digit(23785, 6).
digit(58531, 4).
digit(13310, 2).
digit(17934, 4).
digit(14450, 3).
digit(20237, 1).
digit(24, 1).
initiatedAt(sequence0 = false, 21).
digit(3491, 3).
digit(36172, 9).
digit(26062, 5).
digit(5845, 2).
digit(15682, 4).
digit(17334, 0).
digit(47950, 3).
digit(27973, 8).
digit(49559, 1).
digit(22782, 9).
digit(10631, 4).
digit(37192, 0).
digit(19049, 0).
initiatedAt(sequence0 = true, 34).
digit(33420, 5).
digit(25245, 3).
digit(40028, 9).
digit(23908, 1).
digit(19203, 0).
digit(20070, 1).
digit(41015, 3).
digit(56318, 0).
digit(52063, 4).
digit(2083, 1).
digit(7695, 2).
digit(49602, 3).
digit(53483, 7).
digit(26894, 7).
initiatedAt(sequence3 = false, 48).
digit(42395, 6).
digit(16386, 3).
digit(1904, 0).
digit(22118, 8).
digit(46479, 0).
digit(34138, 4).
digit(45072, 5).
digit(41399, 2).
digit(43406, 1).
digit(4404, 6).
digit(25537, 1).
digit(19504, 0).
digit(18450, 8).
digit(15096, 8).
initiatedAt(sequence4 = true, 62).
digit(40861, 1).
digit(38612, 5).
digit(25790, 4).
digit(27477, 0).
digit(52589, 4).
digit(55963, 1).
digit(20701, 6).
digit(7286, 0).
digit(4288, 0).
initiatedAtNoise(sequence0 = true, 71).
digit(13799, 0).
initiatedAtNoise(sequence4 = false, 72).
digit(22354, 5).
digit(51892, 0).
digit(38278, 7).
digit(30174, 4).
digit(17490, 7).
digit(7564, 6).
digit(566, 9).
digit(10292, 9).
initiatedAt(sequence4 = false, 80).
digit(51063, 3).
digit(1101, 8).
digit(56610, 1).
digit(25086, 4).
digit(31286, 1).
digit(6662, 3).
digit(45181, 8).
digit(19417, 9).
digit(6490, 4).
digit(23137, 5).
digit(28293, 2).
digit(49255, 6).
digit(6997, 5).
digit(59346, 5).
initiatedAt(sequence2 = false, 94).
digit(10533, 7).
digit(41236, 7).
initiatedAt(sequence3 = false, 96).
digit(41816, 1).
digit(31739, 1).
initiatedAtNoise(sequence0 = false, 98).
digit(10263, 7).
digit(23340, 1).
digit(7920, 2).
digit(33324, 5).
digit(5155, 4).
digit(6389, 5).
digit(6652, 4).
digit(54028, 3).
digit(41733, 1).
digit(53298, 0).
digit(41313, 7).
digit(34701, 3).
digit(16453, 3).
initiatedAt(sequence1 = false, 111).
digit(51334, 9).
digit(39090, 2).
digit(34561, 5).
digit(1564, 7).
digit(23103, 4).
digit(32338, 1).
digit(36579, 5).
digit(4868, 3).
digit(39691, 2).
digit(3813, 2).
initiatedAtNoise(sequence3 = true, 121).
digit(54109, 4).
digit(14427, 1).
digit(56996, 9).
