happensAt(32127, 0).
happensAt(47217, 1).
happensAt(21144, 2).
happensAt(35861, 3).
happensAt(15352, 4).
happensAt(30601, 5).
happensAt(1433, 6).
happensAt(29431, 7).
happensAt(37939, 8).
happensAt(33234, 9).
happensAt(510, 10).
happensAt(39518, 11).
happensAt(2527, 12).
happensAt(46771, 13).
happensAt(44, 14).
happensAt(1914, 15).
happensAt(42901, 16).
happensAt(39000, 17).
happensAt(39888, 18).
happensAt(21353, 19).
happensAt(4861, 20).
happensAt(34691, 21).
happensAt(44542, 22).
happensAt(59057, 23).
happensAt(48536, 24).
happensAt(25151, 25).
happensAt(47570, 26).
happensAt(10807, 27).
happensAt(47548, 28).
happensAt(24527, 29).
happensAt(37536, 30).
happensAt(20988, 31).
happensAt(32541, 32).
happensAt(46793, 33).
happensAt(10658, 34).
happensAt(6956, 35).
happensAt(24982, 36).
happensAt(54758, 37).
happensAt(18957, 38).
happensAt(13752, 39).
happensAt(14551, 40).
happensAt(43363, 41).
happensAt(38531, 42).
happensAt(19559, 43).
happensAt(35651, 44).
happensAt(56483, 45).
happensAt(34713, 46).
happensAt(29605, 47).
happensAt(43732, 48).
happensAt(34723, 49).
happensAt(53068, 50).
happensAt(26193, 51).
happensAt(25011, 52).
happensAt(16082, 53).
happensAt(28910, 54).
happensAt(14079, 55).
happensAt(20128, 56).
happensAt(59912, 57).
happensAt(59833, 58).
happensAt(37693, 59).
happensAt(13592, 60).
happensAt(38473, 61).
happensAt(5931, 62).
happensAt(42832, 63).
happensAt(41712, 64).
happensAt(59679, 65).
happensAt(31860, 66).
happensAt(131, 67).
happensAt(31711, 68).
happensAt(59872, 69).
happensAt(23421, 70).
happensAt(29555, 71).
happensAt(53043, 72).
happensAt(10781, 73).
happensAt(11960, 74).
happensAt(50785, 75).
happensAt(54389, 76).
happensAt(4777, 77).
happensAt(37819, 78).
happensAt(52439, 79).
happensAt(36169, 80).
happensAt(36415, 81).
happensAt(37632, 82).
happensAt(2929, 83).
happensAt(38212, 84).
happensAt(56269, 85).
happensAt(18061, 86).
happensAt(15284, 87).
happensAt(4871, 88).
happensAt(44924, 89).
happensAt(35832, 90).
happensAt(15137, 91).
happensAt(51552, 92).
happensAt(50748, 93).
happensAt(42798, 94).
happensAt(7763, 95).
happensAt(55537, 96).
happensAt(51313, 97).
happensAt(40459, 98).
happensAt(51698, 99).
happensAt(48787, 100).
happensAt(1803, 101).
happensAt(53849, 102).
happensAt(5638, 103).
happensAt(46540, 104).
happensAt(55550, 105).
happensAt(13092, 106).
happensAt(47960, 107).
happensAt(30377, 108).
happensAt(25097, 109).
happensAt(22306, 110).
happensAt(34922, 111).
happensAt(38603, 112).
happensAt(57728, 113).
happensAt(37925, 114).
happensAt(55910, 115).
happensAt(47331, 116).
happensAt(40299, 117).
happensAt(35623, 118).
happensAt(48662, 119).
happensAt(10832, 120).
happensAt(34056, 121).
happensAt(4996, 122).
happensAt(19317, 123).
happensAt(48171, 124).
happensAt(11248, 125).
happensAt(15320, 126).
happensAt(17367, 127).
happensAt(55389, 128).
happensAt(36367, 129).
happensAt(41164, 130).
happensAt(16116, 131).
happensAt(13950, 132).
happensAt(43221, 133).
happensAt(44327, 134).
happensAt(35069, 135).
happensAt(21185, 136).
happensAt(11982, 137).
happensAt(35779, 138).
happensAt(3689, 139).
happensAt(45695, 140).
happensAt(34793, 141).
happensAt(31460, 142).
happensAt(30334, 143).
happensAt(46684, 144).
happensAt(25937, 145).
happensAt(20297, 146).
happensAt(51113, 147).
happensAt(23790, 148).
happensAt(33635, 149).
happensAt(47100, 150).
happensAt(12090, 151).
happensAt(33042, 152).
happensAt(16260, 153).
happensAt(13223, 154).
happensAt(45418, 155).
happensAt(41295, 156).
happensAt(18809, 157).
happensAt(55328, 158).
happensAt(52966, 159).
happensAt(44239, 160).
happensAt(29575, 161).
happensAt(43360, 162).
happensAt(4980, 163).
happensAt(48994, 164).
happensAt(31282, 165).
happensAt(42724, 166).
happensAt(49366, 167).
happensAt(56819, 168).
happensAt(59204, 169).
happensAt(59212, 170).
happensAt(23891, 171).
happensAt(55345, 172).
happensAt(47932, 173).
happensAt(30804, 174).
happensAt(11376, 175).
happensAt(40963, 176).
happensAt(10927, 177).
happensAt(16967, 178).
happensAt(59938, 179).
happensAt(44882, 180).
happensAt(11724, 181).
happensAt(6624, 182).
happensAt(4798, 183).
happensAt(47286, 184).
happensAt(33809, 185).
happensAt(30491, 186).
happensAt(6805, 187).
happensAt(33665, 188).
happensAt(19520, 189).
happensAt(47864, 190).
happensAt(28378, 191).
happensAt(46761, 192).
happensAt(11184, 193).
happensAt(31625, 194).
happensAt(14135, 195).
happensAt(6008, 196).
happensAt(51642, 197).
happensAt(20957, 198).
happensAt(59236, 199).
happensAt(28361, 200).
happensAt(3457, 201).
happensAt(10140, 202).
happensAt(14253, 203).
happensAt(18557, 204).
happensAt(21909, 205).
happensAt(57334, 206).
happensAt(3939, 207).
happensAt(35634, 208).
happensAt(52076, 209).
happensAt(58374, 210).
happensAt(52627, 211).
happensAt(22499, 212).
happensAt(49791, 213).
happensAt(57011, 214).
happensAt(152, 215).
happensAt(25564, 216).
happensAt(26573, 217).
happensAt(55427, 218).
happensAt(14196, 219).
happensAt(46290, 220).
happensAt(30796, 221).
happensAt(53134, 222).
happensAt(33835, 223).
happensAt(58450, 224).
happensAt(29854, 225).
happensAt(38267, 226).
happensAt(36427, 227).
happensAt(25481, 228).
happensAt(52921, 229).
happensAt(12678, 230).
happensAt(1023, 231).
happensAt(4552, 232).
happensAt(45177, 233).
happensAt(25211, 234).
happensAt(48026, 235).
happensAt(41719, 236).
