happensAt(40234, 0).
happensAt(56954, 1).
happensAt(11106, 2).
happensAt(17600, 3).
happensAt(10316, 4).
happensAt(37617, 5).
happensAt(31700, 6).
happensAt(29517, 7).
happensAt(32193, 8).
happensAt(54252, 9).
happensAt(23607, 10).
happensAt(40443, 11).
happensAt(39032, 12).
happensAt(46912, 13).
happensAt(16935, 14).
happensAt(37326, 15).
happensAt(34202, 16).
happensAt(57032, 17).
happensAt(26030, 18).
happensAt(45874, 19).
happensAt(19562, 20).
happensAt(34129, 21).
happensAt(12145, 22).
happensAt(318, 23).
happensAt(34463, 24).
happensAt(3398, 25).
happensAt(37139, 26).
happensAt(40944, 27).
happensAt(22500, 28).
happensAt(28883, 29).
happensAt(31873, 30).
happensAt(17688, 31).
happensAt(37424, 32).
happensAt(6301, 33).
happensAt(38195, 34).
happensAt(49828, 35).
happensAt(42582, 36).
happensAt(37171, 37).
happensAt(55686, 38).
happensAt(17110, 39).
happensAt(37576, 40).
happensAt(1403, 41).
happensAt(13215, 42).
happensAt(8408, 43).
happensAt(59568, 44).
happensAt(13704, 45).
happensAt(13889, 46).
happensAt(40735, 47).
happensAt(29193, 48).
happensAt(17245, 49).
happensAt(7161, 50).
happensAt(11634, 51).
happensAt(23706, 52).
happensAt(41079, 53).
happensAt(2012, 54).
happensAt(4587, 55).
happensAt(42572, 56).
happensAt(4629, 57).
happensAt(26900, 58).
happensAt(26516, 59).
happensAt(3568, 60).
happensAt(36007, 61).
happensAt(41482, 62).
happensAt(42, 63).
happensAt(1637, 64).
happensAt(46000, 65).
happensAt(54595, 66).
happensAt(24219, 67).
happensAt(7293, 68).
happensAt(40128, 69).
happensAt(10081, 70).
happensAt(11052, 71).
happensAt(26745, 72).
happensAt(49174, 73).
happensAt(41935, 74).
happensAt(11913, 75).
happensAt(34382, 76).
happensAt(31929, 77).
happensAt(58300, 78).
happensAt(36321, 79).
happensAt(42002, 80).
happensAt(43954, 81).
happensAt(54498, 82).
happensAt(27254, 83).
happensAt(1945, 84).
happensAt(30108, 85).
happensAt(58087, 86).
happensAt(52788, 87).
happensAt(54719, 88).
happensAt(58704, 89).
happensAt(24158, 90).
happensAt(26819, 91).
happensAt(55983, 92).
happensAt(4666, 93).
happensAt(5313, 94).
happensAt(56938, 95).
happensAt(49934, 96).
happensAt(59026, 97).
happensAt(51740, 98).
happensAt(48327, 99).
happensAt(10811, 100).
happensAt(33541, 101).
happensAt(41638, 102).
happensAt(46769, 103).
happensAt(39662, 104).
happensAt(21258, 105).
happensAt(22026, 106).
happensAt(53002, 107).
happensAt(13110, 108).
happensAt(15765, 109).
happensAt(40512, 110).
happensAt(55179, 111).
happensAt(21708, 112).
happensAt(29859, 113).
happensAt(52144, 114).
happensAt(20342, 115).
happensAt(19294, 116).
happensAt(16747, 117).
happensAt(22960, 118).
happensAt(24216, 119).
happensAt(7308, 120).
happensAt(57329, 121).
happensAt(4050, 122).
happensAt(4816, 123).
happensAt(34225, 124).
happensAt(39598, 125).
happensAt(41436, 126).
happensAt(20971, 127).
happensAt(15691, 128).
happensAt(4247, 129).
happensAt(33735, 130).
happensAt(53895, 131).
happensAt(32923, 132).
happensAt(20722, 133).
happensAt(14602, 134).
happensAt(34982, 135).
happensAt(4821, 136).
happensAt(52592, 137).
happensAt(17567, 138).
happensAt(48004, 139).
happensAt(57414, 140).
happensAt(30416, 141).
happensAt(41948, 142).
happensAt(4336, 143).
happensAt(34059, 144).
happensAt(30015, 145).
happensAt(24470, 146).
happensAt(47857, 147).
happensAt(220, 148).
happensAt(12442, 149).
happensAt(45704, 150).
happensAt(28730, 151).
happensAt(41990, 152).
