digit(14564, 0).
digit(40314, 1).
digit(451, 0).
digit(56610, 1).
digit(49840, 1).
digit(27805, 0).
digit(42002, 1).
digit(51978, 0).
digit(18488, 1).
digit(44482, 1).
digit(53328, 0).
digit(24133, 1).
digit(13474, 1).
digit(43053, 1).
digit(7281, 0).
digit(95, 0).
digit(21903, 0).
digit(14859, 1).
digit(48896, 1).
digit(3560, 1).
digit(2708, 1).
digit(39603, 1).
digit(7599, 1).
digit(22248, 1).
digit(51052, 0).
digit(40058, 1).
digit(1354, 1).
digit(3743, 0).
digit(46507, 1).
digit(6847, 0).
digit(40348, 1).
digit(9983, 0).
digit(17535, 0).
digit(205, 1).
digit(17669, 1).
digit(53326, 1).
digit(609, 1).
digit(36265, 1).
digit(27018, 1).
digit(53489, 1).
digit(7022, 1).
digit(31154, 0).
digit(58887, 1).
digit(46916, 1).
digit(19446, 1).
digit(22213, 0).
digit(10068, 1).
digit(8489, 0).
digit(47346, 0).
digit(47721, 1).
digit(32151, 0).
digit(48227, 0).
digit(42180, 0).
digit(29623, 0).
digit(28593, 0).
digit(5393, 0).
digit(21364, 1).
digit(7685, 0).
digit(18603, 0).
digit(9003, 0).
digit(50328, 0).
digit(49770, 0).
digit(41333, 1).
digit(45690, 1).
digit(42276, 1).
digit(31272, 0).
digit(4790, 1).
digit(1131, 1).
digit(16325, 1).
digit(25729, 0).
digit(33079, 0).
digit(42981, 0).
digit(4013, 1).
digit(39975, 0).
digit(6208, 1).
digit(30606, 1).
digit(47647, 0).
digit(42871, 0).
digit(51831, 0).
digit(39207, 0).
digit(58276, 1).
digit(7858, 0).
digit(45853, 0).
digit(59487, 0).
digit(33675, 1).
digit(31470, 0).
digit(2197, 1).
digit(51250, 1).
digit(40428, 0).
digit(29469, 0).
digit(7951, 1).
digit(52325, 1).
digit(54900, 0).
digit(21266, 0).
digit(28291, 1).
digit(53297, 0).
digit(745, 0).
digit(29388, 0).
digit(45754, 1).
digit(1605, 0).
digit(49488, 1).
digit(30170, 0).
digit(53917, 0).
digit(21741, 1).
digit(9048, 0).
digit(30384, 0).
digit(43933, 1).
digit(34264, 1).
digit(14157, 0).
digit(32184, 0).
digit(9297, 0).
digit(32019, 1).
digit(31771, 1).
digit(3213, 0).
digit(14321, 1).
digit(17695, 1).
digit(16595, 0).
digit(46539, 1).
digit(40790, 1).
digit(50205, 0).
digit(7410, 1).
digit(27637, 0).
digit(49186, 1).
digit(7716, 1).
digit(9628, 1).
digit(39897, 0).
digit(13657, 1).
digit(28187, 1).
digit(3468, 1).
digit(48755, 0).
digit(14371, 1).
digit(15311, 0).
digit(21376, 1).
digit(54061, 1).
digit(34999, 0).
digit(59012, 0).
digit(6003, 1).
digit(52569, 1).
digit(41649, 1).
digit(43615, 1).
digit(174, 1).
digit(31250, 1).
digit(35908, 1).
digit(4889, 0).
digit(52817, 0).
digit(6737, 0).
digit(40122, 0).
digit(59154, 0).
digit(5090, 1).
digit(31916, 1).
digit(23493, 1).
digit(12387, 0).
digit(19517, 1).
digit(57727, 0).
digit(29055, 0).
digit(40115, 0).
digit(1860, 1).
digit(18132, 0).
digit(11860, 0).
digit(40861, 1).
digit(678, 1).
digit(46596, 0).
digit(326, 0).
digit(37335, 0).
digit(34356, 0).
digit(14509, 1).
digit(51206, 1).
digit(16518, 0).
digit(22640, 0).
digit(43671, 1).
digit(55727, 0).
digit(12662, 0).
digit(10348, 0).
digit(27629, 1).
digit(47150, 0).
digit(40843, 0).
digit(3937, 0).
digit(32306, 1).
digit(5571, 1).
digit(28305, 0).
digit(37738, 0).
digit(1051, 1).
digit(35739, 0).
digit(38946, 0).
digit(57888, 1).
digit(6611, 0).
digit(23505, 1).
digit(21202, 1).
digit(2373, 0).
digit(31478, 1).
digit(9130, 1).
digit(9378, 1).
digit(1787, 1).
digit(2582, 0).
digit(10364, 1).
digit(50424, 0).
digit(10456, 0).
digit(8095, 1).
digit(7671, 1).
digit(53429, 0).
digit(34451, 0).
digit(48142, 0).
digit(59233, 1).
digit(51249, 1).
digit(30709, 0).
digit(32158, 1).
digit(21479, 1).
digit(6423, 1).
digit(9675, 0).
digit(19547, 0).
digit(19735, 1).
digit(27578, 1).
digit(8332, 1).
digit(55140, 1).
digit(19786, 0).
digit(39550, 1).
digit(36165, 1).
digit(17476, 0).
digit(28946, 0).
digit(53966, 1).
digit(40859, 0).
digit(14353, 1).
digit(4267, 1).
digit(11105, 0).
digit(59911, 0).
digit(35359, 1).
digit(22879, 1).
digit(6565, 1).
digit(9256, 1).
digit(52780, 1).
digit(18159, 0).
digit(22453, 0).
digit(32335, 1).
digit(43188, 0).
digit(59882, 1).
digit(33023, 0).
digit(5963, 1).
digit(31243, 0).
digit(18424, 0).
digit(3490, 0).
digit(45401, 0).
digit(11562, 0).
digit(52885, 0).
digit(21253, 1).
digit(14021, 1).
digit(26438, 0).
digit(51369, 1).
digit(42759, 0).
digit(31350, 0).
digit(53027, 0).
digit(43085, 1).
digit(7472, 1).
digit(28331, 1).
digit(5747, 0).
digit(15999, 1).
digit(49878, 1).
digit(42179, 1).
digit(26598, 1).
digit(49397, 1).
digit(35481, 0).
digit(36351, 0).
digit(4507, 1).
digit(3545, 1).
digit(14698, 1).
digit(40879, 1).
digit(41555, 1).
digit(5665, 0).
digit(8418, 1).
digit(59488, 1).
digit(36022, 0).
digit(54783, 0).
digit(19550, 0).
digit(5006, 1).
digit(27123, 1).
digit(26881, 0).
digit(779, 1).
digit(10098, 1).
digit(46332, 0).
digit(47241, 0).
digit(51672, 1).
digit(48136, 0).
digit(8330, 1).
digit(27639, 1).
digit(53124, 0).
digit(31780, 1).
digit(57595, 0).
digit(30009, 0).
digit(59116, 1).
digit(4985, 0).
digit(52526, 0).
digit(47054, 1).
digit(40002, 0).
digit(53899, 1).
digit(25626, 0).
digit(8373, 1).
digit(53471, 1).
digit(30089, 1).
digit(52075, 1).
digit(56541, 1).
digit(40825, 0).
